Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  17344 Services                   0     26В 472 K
svchost.exe                  17580 Services                   0     10В 804 K
svchost.exe                  18416 Console                    2      9В 528 K
svchost.exe                  19656 Services                   0     12В 760 K
System                           4 Services                   0        148 K
System Idle Process              0 Services                   0          8 K
SystemSettings.exe            5604 Console                    2     13В 860 K
SystemSettingsBroker.exe     18648 Console                    2     34В 824 K
taskhostw.exe                14012 Console                    2     23В 236 K
tasklist.exe                 10012 Console                    2      9В 960 K
Teams.exe                     7912 Console                    2    208В 528 K
Teams.exe                    10124 Console                    2     67В 568 K
Teams.exe                    10540 Console                    2    321В 272 K
Teams.exe                    13764 Console                    2    150В 728 K
Teams.exe                    13812 Console                    2    162В 076 K
Teams.exe                    15364 Console                    2    126В 876 K
Teams.exe                    16852 Console                    2     64В 640 K
Teams.exe                    18240 Console                    2     47В 224 K
TextInputHost.exe            17468 Console                    2     57В 032 K
unsecapp.exe                  2600 Console                    2      8В 448 K
unsecapp.exe                  7372 Services                   0      8В 112 K
UserOOBEBroker.exe           13568 Console                    2     10В 896 K
uTorrent.exe                  2552 Console                    2     31В 444 K
uvfPlayer.exe                19256 Console                    2     86В 024 K
vpnagent.exe                  4076 Services                   0     19В 216 K
WhatsApp.exe                 16388 Console                    2    201В 352 K
wininit.exe                    892 Services                   0      6В 484 K
winlogon.exe                 17424 Console                    2     11В 440 K
wlanext.exe                   4652 Services                   0      6В 312 K
WmiPrvSE.exe                  7344 Services                   0     10В 880 K
WmiPrvSE.exe                  7364 Services                   0     18В 820 K
WMIRegistrationService.ex     5804 Services                   0     13В 136 K
WUDFHost.exe                  1084 Services                   0     17В 408 K
WUDFHost.exe                  2640 Services                   0      8В 244 K
xTendUtility.exe              7628 Services                   0      7В 576 K
xTendUtilityService.exe       6216 Services                   0     16В 844 K
YandexDisk2.exe              14620 Console                    2     68В 936 K
